timestamp,region,city,item_id,demand
1/2/2018,region_1,city_2,item_1,148
1/3/2018,region_1,city_2,item_1,124
1/4/2018,region_1,city_2,item_1,243
1/5/2018,region_1,city_2,item_1,199
1/6/2018,region_1,city_2,item_1,100
1/7/2018,region_1,city_2,item_1,33
1/8/2018,region_1,city_2,item_1,175
1/9/2018,region_1,city_2,item_1,151
1/10/2018,region_1,city_2,item_1,138
1/11/2018,region_1,city_2,item_1,154
1/12/2018,region_1,city_2,item_1,198
1/13/2018,region_1,city_2,item_1,67
1/14/2018,region_1,city_2,item_1,25
1/15/2018,region_1,city_2,item_1,167
1/16/2018,region_1,city_2,item_1,153
1/17/2018,region_1,city_2,item_1,167
1/18/2018,region_1,city_2,item_1,158
1/19/2018,region_1,city_2,item_1,168
1/20/2018,region_1,city_2,item_1,69
1/21/2018,region_1,city_2,item_1,24
1/22/2018,region_1,city_2,item_1,166
1/23/2018,region_1,city_2,item_1,189
1/24/2018,region_1,city_2,item_1,155
1/25/2018,region_1,city_2,item_1,179
1/26/2018,region_1,city_2,item_1,144
1/27/2018,region_1,city_2,item_1,86
1/28/2018,region_1,city_2,item_1,27
1/29/2018,region_1,city_2,item_1,114
1/30/2018,region_1,city_2,item_1,186
1/31/2018,region_1,city_2,item_1,150
2/1/2018,region_1,city_2,item_1,155
2/2/2018,region_1,city_2,item_1,182
2/3/2018,region_1,city_2,item_1,70
2/4/2018,region_1,city_2,item_1,2
2/5/2018,region_1,city_2,item_1,100
2/6/2018,region_1,city_2,item_1,130
2/7/2018,region_1,city_2,item_1,156
2/8/2018,region_1,city_2,item_1,199
2/9/2018,region_1,city_2,item_1,48
2/10/2018,region_1,city_2,item_1,44
2/11/2018,region_1,city_2,item_1,31
2/12/2018,region_1,city_2,item_1,141
2/13/2018,region_1,city_2,item_1,140
2/14/2018,region_1,city_2,item_1,173
2/15/2018,region_1,city_2,item_1,195
2/16/2018,region_1,city_2,item_1,195
2/17/2018,region_1,city_2,item_1,50
2/18/2018,region_1,city_2,item_1,17
2/19/2018,region_1,city_2,item_1,126
2/20/2018,region_1,city_2,item_1,127
2/21/2018,region_1,city_2,item_1,137
